28539.15,0
177.79,10
116.51,20
87.85,30
71.7,40
61.28,50
53.09,60
46.99,70
42.09,80
38.42,90
35.26,100
32.67,110
30.35,120
28.03,130
26.11,140
24.44,150
23.18,160
21.91,170
20.64,180
19.56,190
18.56,200
17.8,210
17.03,220
16.45,230
15.83,240
15.01,250
14.42,260
13.79,270
13.2,280
12.75,290
12.18,300
11.83,310
11.48,320
11.15,330
10.74,340
10.51,350
10.25,360
9.92,370
9.7,380
9.48,390
9.21,400
8.96,410
8.74,420
8.53,430
8.3,440
8.14,450
7.98,460
7.8,470
7.57,480
7.35,490
7.13,500
