18992.17,0
137.03,10
88.17,20
66.64,30
53.23,40
44.6,50
38.23,60
33.3,70
29.57,80
26.49,90
24.08,100
22.14,110
20.36,120
18.73,130
17.51,140
16.33,150
15.31,160
14.23,170
13.4,180
12.41,190
11.8,200
11.15,210
10.63,220
10.06,230
9.65,240
9.21,250
8.76,260
8.37,270
8.06,280
7.79,290
7.52,300
7.27,310
7.0,320
6.81,330
6.56,340
6.43,350
6.23,360
6.07,370
5.92,380
5.72,390
5.57,400
5.36,410
5.16,420
5.05,430
4.91,440
4.81,450
4.7,460
4.56,470
4.46,480
4.35,490
4.28,500
