15427.75,0
117.57,10
74.51,20
55.29,30
44.16,40
36.79,50
30.96,60
26.74,70
23.33,80
20.94,90
19.2,100
17.47,110
16.07,120
14.75,130
13.69,140
12.7,150
11.73,160
10.97,170
10.3,180
9.56,190
9.0,200
8.53,210
8.08,220
7.71,230
7.43,240
7.09,250
6.8,260
6.46,270
6.11,280
5.98,290
5.76,300
5.54,310
5.33,320
5.11,330
4.85,340
4.69,350
4.54,360
4.39,370
4.31,380
4.15,390
4.05,400
3.91,410
3.81,420
3.73,430
3.6,440
3.56,450
3.47,460
3.36,470
3.25,480
3.22,490
3.18,500
