13466.23,0
109.29,10
67.82,20
50.15,30
39.99,40
32.95,50
27.75,60
24.05,70
21.12,80
18.66,90
16.78,100
15.29,110
14.03,120
12.86,130
11.86,140
10.81,150
9.96,160
9.25,170
8.7,180
8.22,190
7.73,200
7.18,210
6.77,220
6.38,230
6.09,240
5.8,250
5.56,260
5.42,270
5.28,280
5.08,290
4.87,300
4.72,310
4.51,320
4.36,330
4.18,340
4.0,350
3.88,360
3.78,370
3.64,380
3.51,390
3.4,400
3.35,410
3.22,420
3.1,430
3.02,440
2.91,450
2.82,460
2.76,470
2.68,480
2.56,490
2.48,500
