6401.81,0
57.13,10
33.34,20
23.18,30
17.48,40
14.03,50
11.67,60
9.68,70
8.17,80
7.08,90
6.32,100
5.7,110
5.0,120
4.48,130
4.12,140
3.71,150
3.38,160
3.08,170
2.88,180
2.67,190
2.47,200
2.26,210
2.11,220
2.01,230
1.92,240
1.8,250
1.73,260
1.63,270
1.59,280
1.53,290
1.51,300
1.43,310
1.35,320
1.3,330
1.24,340
1.21,350
1.15,360
1.15,370
1.13,380
1.08,390
1.04,400
0.97,410
0.93,420
0.88,430
0.88,440
0.86,450
0.82,460
0.82,470
0.8,480
0.79,490
0.77,500
