12576.92,0
97.56,10
58.73,20
42.08,30
33.08,40
27.63,50
23.78,60
20.72,70
18.13,80
16.11,90
14.49,100
13.31,110
12.18,120
11.22,130
10.41,140
9.7,150
9.11,160
8.48,170
7.92,180
7.47,190
7.1,200
6.75,210
6.38,220
6.15,230
5.84,240
5.71,250
5.52,260
5.28,270
5.11,280
4.88,290
4.69,300
4.55,310
4.38,320
4.19,330
4.03,340
3.89,350
3.78,360
3.63,370
3.5,380
3.35,390
3.21,400
3.15,410
3.07,420
2.93,430
2.8,440
2.73,450
2.66,460
2.58,470
2.51,480
2.43,490
2.38,500
